Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C2, C3, C37, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C9",0402,21,100n,
"C10, C14, C15, C16, C17, C18, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C38, C39, C40, C41, C42, C43, C44, C8",0402,26,1u,
"C19, C20, C21, C22, C23, C24, C4, C5, C6, C7",0402,10,4u7,
"D2, D5, D6, D7, D8",D_SOD-323,5,MBR0530WS,
"D3, D4, D9",0402,3,LED,
FB1,0402,1,BLF03RD501GNED,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,
L1,L_Coilcraft_XxL4040,1,XAL4020-222MEC,
L2,Cx-54_inductor_C2929435,1,68u,
Q1,SOT-323_SC-70,1,HXY2102EI,
"R1, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33",0402,12,0R,
R10,0402,1,220k,
R11,0402,1,33R,
R12,0402,1,442k,
R13,0402,1,100k,
"R14, R22, R34, R35, R5",0402,5,4k7,
"R15, R6, R7",0402,3,10k,
R16,0402,1,0R47,
"R17, R2",0402,2,330R,
"R18, R19, R3, R4",0402,4,5k1,
"R20, R21, R8, R9",0402,4,22R,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1/U,
U10,BMP581,1,BMP581,
U11,BMP585,1,BMP585,
U12,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U2,RV-3028-C7,1,RV-3028-C7,
U3,SOT-563,1,TLV62569DRLR,
U4,TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,1,E-PAPER_2.13_122x250_SSD1680Z8_CON,
U5,USB_C_Receptacle_Palconn_UTC16-G,1,TYPE-C 16PIN 2MD(073)_C2765186,
U6,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U7,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT45,
U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32768Hz,
