Designator,Mid X,Mid Y,Rotation,Layer
C1,125.7,-91.55,0.0,top
C10,167.5,-101.375,0.0,top
C11,120.72,-107.3,180.0,top
C12,130.015,-106.14,270.0,top
C13,132.735,-104.29,270.0,top
C14,141.82,-92.9,90.0,top
C15,142.74,-92.9,90.0,top
C16,143.66,-92.9,90.0,top
C17,144.580001,-92.9,90.0,top
C18,145.5,-92.9,90.0,top
C19,143.660001,-94.719999,270.0,top
C2,125.7,-108.22,0.0,top
C20,148.26,-94.72,270.0,top
C21,147.339999,-94.72,270.0,top
C22,146.42,-94.719999,270.0,top
C23,145.5,-94.72,270.0,top
C24,144.58,-94.72,270.0,top
C25,166.039999,-112.6,270.0,top
C26,165.12,-112.6,270.0,top
C27,164.2,-112.6,270.0,top
C28,163.28,-112.6,270.0,top
C29,162.360001,-112.6,270.0,top
C3,143.3,-86.6,0.0,top
C30,162.360001,-104.2,270.0,top
C31,166.039999,-104.2,270.0,top
C32,165.12,-104.2,270.0,top
C33,164.2,-104.2,270.0,top
C34,163.28,-104.2,270.0,top
C35,170.85,-104.7,180.0,top
C36,170.85,-103.75,180.0,top
C37,170.6,-98.76,180.0,top
C38,170.6,-97.84,180.0,top
C39,170.6,-96.92,180.0,top
C4,140.9,-92.9,90.0,top
C40,170.6,-96.0,180.0,top
C41,170.6,-95.08,180.0,top
C42,170.6,-94.16,180.0,top
C43,170.6,-93.240001,180.0,top
C44,170.6,-92.31,180.0,top
C45,156.7,-86.6,180.0,top
C46,158.7,-106.225,270.0,top
C47,156.825,-104.825,0.0,top
C48,155.35,-96.475,0.0,top
C49,156.65,-114.800001,0.0,top
C5,165.32,-95.55,180.0,top
C50,153.95,-93.425,90.0,top
C51,148.0675,-113.4425,90.0,top
C52,150.2175,-114.8175,180.0,top
C53,142.55,-114.85,180.0,top
C54,144.225,-114.4,270.0,top
C55,134.9,-113.45,270.0,top
C56,138.1,-114.85,180.0,top
C57,152.2,-104.9,0.0,top
C6,120.72,-108.22,180.0,top
C7,120.72,-109.14,180.0,top
C8,125.7,-107.3,0.0,top
C9,170.6,-99.68,180.0,top
D2,139.4,-93.5,90.0,top
D3,139.3,-95.7,0.0,top
D4,141.775,-94.745,90.0,top
D5,168.075,-95.125,180.0,top
D6,168.075,-93.225,0.0,top
D7,167.5,-103.5,270.0,top
D8,165.4,-93.49,90.0,top
D9,155.34,-92.04,0.0,top
FB1,142.725,-94.745,90.0,top
J1,137.0,-88.3,180.0,top
J2,140.6,-106.5,90.0,top
L1,150.98,-93.37,270.0,top
L2,164.2,-108.4,90.0,top
Q1,169.1,-106.5,180.0,top
R10,130.0,-104.3,90.0,top
R11,130.475,-102.9,180.0,top
R12,146.89,-90.19,180.0,top
R13,146.89,-91.13,0.0,top
R14,140.825,-94.745,90.0,top
R15,171.3,-107.96,270.0,top
R16,171.3,-106.1,270.0,top
R17,156.7,-87.6,180.0,top
R18,161.25,-92.82,270.0,top
R19,163.98,-92.82,270.0,top
R2,143.3,-87.6,0.0,top
R20,161.71,-94.6,180.0,top
R21,161.71,-95.539999,180.0,top
R22,155.34,-91.1,0.0,top
R23,123.66,-92.16,90.0,top
R24,122.72,-92.16,90.0,top
R26,170.85,-102.8,180.0,top
R27,152.5475,-113.4075,90.0,top
R29,139.925,-112.925,270.0,top
R3,137.975,-92.825,270.0,top
R31,133.95,-111.6,270.0,top
R33,154.625,-106.25,270.0,top
R34,134.425,-109.25,0.0,top
R35,134.425,-110.2,0.0,top
R4,135.25,-92.825,270.0,top
R5,139.3,-96.64,0.0,top
R6,130.35,-96.7,180.0,top
R7,124.32,-107.77,90.0,top
R8,130.33,-100.77,180.0,top
R9,130.33,-99.830001,180.0,top
SW1,127.525,-89.375,180.0,top
SW2,127.525,-110.425,180.0,top
U1,123.6,-99.9,90.0,top
U10,142.55,-113.175,180.0,top
U11,137.2,-112.55,270.0,top
U12,150.3,-112.6,90.0,top
U2,151.3,-106.6,0.0,top
U3,147.31,-92.707501,0.0,top
U4,174.775,-100.0,90.0,top
U5,163.000001,-88.3,180.0,top
U6,157.6,-94.259999,90.0,top
U7,156.65,-113.1,270.0,top
U8,156.675,-106.6,270.0,top
Y1,131.375,-104.675,90.0,top
